,momentum_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
92,55,30,0.892502522356261,1.840024706609018,0.06595242174878191,0.1658893481855378,0.3975478739425588,0.11016653428843459,-0.044214112539652684,-7.933478729063359e-05,4099.124944308358,0.23900153458930817,0.36477610148002704,1687,2516,0.6705087440381559,7.018968583283936,4.8153721024806835,702,985,41.61232957913456,0.03489011421203294,-0.019647301082667046,0.00304698791370485,18925.02522356261,18925.02522356261
93,55,40,1.7359545329918933,1.840024706609018,0.10602465269241512,0.16708320041147084,0.6342206377196156,0.11016653428843459,-0.00414188159601947,5.8070449249538684e-05,4545.880561726521,0.244782715083953,0.7257306050164605,1292,2516,0.5135135135135135,9.328173374613003,4.897196261682243,547,745,42.3374613003096,0.04358857651746342,-0.02129695536874477,0.006173931583078669,27359.545329918932,27359.545329918932
94,55,50,1.9755876762318305,1.840024706609018,0.11536161138543122,0.17461853309704747,0.6605576416535656,0.11016653428843459,0.005195077096996625,7.272853236799494e-05,6635.806604359252,0.2315798487081716,0.8270229342894471,896,2516,0.356120826709062,13.561383928571429,4.937423811458757,391,505,43.638392857142854,0.05474914832536879,-0.02688844734669175,0.008736887371807884,29755.876762318305,29755.876762318305
95,55,60,2.0710732425411638,1.840024706609018,0.11889446952215721,0.16794454558138275,0.7089530534223107,0.11016653428843459,0.008727935233722617,9.439128577355769e-05,8153.570568510917,0.2950208392471897,0.772440055088282,1402,2516,0.5572337042925278,8.479315263908703,4.844335778321108,612,790,43.65192582025678,0.03872450869939488,-0.01907332870105859,0.006156540406699987,30710.73242541164,30710.73242541164
96,55,70,1.1201566821621638,1.840024706609018,0.07814470644159965,0.15859952173778874,0.49342903286769113,0.11016653428843459,-0.03202182784683494,-3.477661176854211e-05,4400.759424372805,0.23522925730096056,0.48331081981741875,1642,2516,0.6526232114467408,7.146163215590743,4.8031109291854275,719,923,43.788063337393424,0.03147949696380613,-0.017839788867439574,0.003756171249896394,21201.566821621636,21201.566821621636
97,55,80,0.32125402742633513,1.840024706609018,0.028285132798536283,0.16117370124195718,0.1758202459703487,0.11016653428843459,-0.08188140148989831,-0.00021571167088690353,3606.5909998486886,0.32657267986365257,-0.11679389624340075,1799,2516,0.7150238473767886,6.4591439688715955,4.7759967118783395,784,1015,43.57976653696498,0.028547594056484344,-0.018059887104562137,0.0022515443741818546,13212.540274263352,13212.540274263352
98,55,90,0.581675024782941,1.840024706609018,0.04697494281958514,0.15741982853507105,0.29887743624457175,0.11016653428843459,-0.06319159146884945,-0.00014169572245770112,3076.278726762779,0.18340683781694478,0.25587015410024705,1680,2516,0.6677265500794912,6.91547619047619,4.798843453118546,747,933,44.46428571428571,0.029188974315968678,-0.01828447118978461,0.0028242572583092626,15816.75024782941,15816.75024782941
99,60,10,0.0021280408102473114,1.840024706609018,0.00021286285206167932,0.15242780297333489,0.0013980455909032503,0.11016653428843459,-0.10995367143637291,-0.0002954601539669502,4726.881519271169,0.41952245515016773,-0.5417783812830042,2656,2516,1.055643879173291,4.251129518072289,4.619885433715221,1149,1507,43.2605421686747,0.0241929906863498,-0.016261180318755723,0.0012395133878957258,10021.280408102473,10021.280408102473
100,60,20,0.392921780315463,1.840024706609018,0.033737871228246785,0.15645467478900238,0.2156865226162122,0.11016653428843459,-0.07642866306018781,-0.00017520738203714796,4809.114197763058,0.2787042857293085,0.004697460094075012,2107,2516,0.8374403815580286,5.49359278595159,4.734151329243354,934,1173,44.32842904603702,0.02691576213579265,-0.017939864116826215,0.0019439303397214927,13929.21780315463,13929.21780315463
101,60,30,1.2789449965378337,1.840024706609018,0.08596921155537007,0.16278080403904951,0.5284305618288198,0.11016653428843459,-0.02419732273306452,6.771239302756085e-06,4182.04973817226,0.2970437629834546,0.4712519741975463,1653,2516,0.6569952305246423,7.11978221415608,4.803673469387755,704,949,42.5892316999395,0.034519377177674324,-0.0188916226207419,0.003855711836659806,22789.449965378335,22789.449965378335
102,60,40,0.9288875595881083,1.840024706609018,0.06798680084841902,0.1622303114264788,0.41924813548923057,0.11016653428843459,-0.04217973344001558,-6.448904479191154e-05,6243.318624586693,0.329229084385521,0.25761583500888996,1380,2516,0.548489666136725,8.628260869565217,4.854056257643702,576,804,41.73913043478261,0.03871167567765984,-0.020995885759884415,0.003925531187960142,19288.875595881083,19288.875595881083
103,60,50,0.8551463853935428,1.840024706609018,0.06382679365924182,0.17187854035774525,0.37114098417141705,0.11016653428843459,-0.04633974062919277,-0.00010196885009151565,6091.769180023903,0.28437102556998506,0.28337016843835094,1053,2516,0.4185214626391097,11.446343779677113,4.911572942135289,450,603,42.73504273504273,0.044941985879768206,-0.02498641390316786,0.004897517628001401,18551.463853935427,18551.463853935427
104,60,60,2.674767260516168,1.840024706609018,0.1391809344627506,0.17911788538030815,0.7772005093419275,0.11016653428843459,0.029014400174316002,0.0001484877876363601,6592.663780165327,0.2365881959260442,1.031532123898904,623,2516,0.24761526232114467,19.26645264847512,4.89718482252142,259,364,41.57303370786517,0.06782575704580332,-0.025091050350203457,0.013537285308810595,36747.67260516168,36747.67260516168
105,60,70,1.2516726667680564,1.840024706609018,0.08466096003175805,0.1615335392277466,0.5246367564858816,0.11016653428843459,-0.025505574256676544,-1.0614840024558909e-05,4907.157478443554,0.21334098697168014,0.5717129485991439,1489,2516,0.5918124006359301,7.891202149093351,4.811629811629811,665,824,44.660846205507056,0.03095690021411904,-0.017252192342174642,0.004278396341462225,22516.726667680567,22516.726667680567
